Lag,variable,value,ID,age,exp,first_trun,sex,trial_num
-3,1.0,-0.05507263348338002,H27-21,1117,demo,L,M,1
-2,1.0,-0.0844976417308277,H27-21,1117,demo,L,M,1
-1,1.0,-0.26924037013295127,H27-21,1117,demo,L,M,1
0,1.0,0.13947731491904408,H27-21,1117,demo,L,M,1
1,1.0,0.15722589291434685,H27-21,1117,demo,L,M,1
2,1.0,0.13300903342889725,H27-21,1117,demo,L,M,1
3,1.0,0.24160979704427618,H27-21,1117,demo,L,M,1
-3,11.0,-0.05565998789146628,H27-21,1117,demo,L,M,1
-2,11.0,-0.10291991627436087,H27-21,1117,demo,L,M,1
-1,11.0,-0.4583972407719052,H27-21,1117,demo,L,M,1
0,11.0,0.00674399837210911,H27-21,1117,demo,L,M,1
1,11.0,0.23276574009132006,H27-21,1117,demo,L,M,1
2,11.0,0.22676562860014832,H27-21,1117,demo,L,M,1
3,11.0,0.2903815319420989,H27-21,1117,demo,L,M,1
